Tempo,PosicaoX,PosicaoY
604,5238237.30,4286232.29
605,5233370.49,4292166.89
606,5228496.96,4298095.97
607,5223616.70,4304019.53
608,5218729.73,4309937.56
609,5213836.05,4315850.04
610,5208935.67,4321756.98
611,5204028.59,4327658.36
612,5199114.83,4333554.18
613,5194194.37,4339444.42
614,5189267.25,4345329.09
615,5184333.45,4351208.17
616,5179392.98,4357081.66
617,5174445.86,4362949.55
618,5169492.09,4368811.83
619,5164531.67,4374668.49
620,5159564.61,4380519.53
621,5154590.92,4386364.94
622,5149610.60,4392204.71
623,5144623.66,4398038.83
624,5139630.11,4403867.30
625,5134629.95,4409690.11
626,5129623.19,4415507.25
627,5124609.84,4421318.71
628,5119589.89,4427124.49
629,5114563.37,4432924.57
630,5109530.27,4438718.96
631,5104490.61,4444507.64
632,5099444.38,4450290.61
633,5094391.59,4456067.86
634,5089332.26,4461839.38
635,5084266.38,4467605.16
636,5079193.97,4473365.20
637,5074115.03,4479119.49
638,5069029.56,4484868.02
639,5063937.58,4490610.78
640,5058839.08,4496347.77
641,5053734.09,4502078.98
642,5048622.60,4507804.41
643,5043504.61,4513524.04
644,5038380.14,4519237.86
645,5033249.20,4524945.88
646,5028111.78,4530648.08
647,5022967.90,4536344.45
648,5017817.57,4542034.99
649,5012660.78,4547719.69
650,5007497.55,4553398.55
651,5002327.88,4559071.55
652,4997151.78,4564738.69
653,4991969.25,4570399.97
654,4986780.31,4576055.36
655,4981584.96,4581704.88
656,4976383.20,4587348.50
657,4971175.04,4592986.23
658,4965960.49,4598618.05
659,4960739.56,4604243.96
660,4955512.25,4609863.95
661,4950278.57,4615478.01
662,4945038.53,4621086.14
663,4939792.13,4626688.33
664,4934539.37,4632284.57
665,4929280.28,4637874.85
666,4924014.84,4643459.18
667,4918743.08,4649037.53
668,4913464.99,4654609.90
669,4908180.59,4660176.29
670,4902889.87,4665736.69
671,4897592.85,4671291.10
672,4892289.54,4676839.49
673,4886979.93,4682381.87
674,4881664.05,4687918.24
675,4876341.88,4693448.57
676,4871013.45,4698972.88
677,4865678.75,4704491.14
678,4860337.80,4710003.35
679,4854990.60,4715509.50
680,4849637.16,4721009.60
681,4844277.48,4726503.62
682,4838911.58,4731991.57
683,4833539.45,4737473.44
684,4828161.11,4742949.21
685,4822776.56,4748418.88
686,4817385.81,4753882.45
687,4811988.87,4759339.91
688,4806585.74,4764791.25
689,4801176.43,4770236.46
690,4795760.95,4775675.54
691,4790339.30,4781108.48
692,4784911.50,4786535.28
693,4779477.54,4791955.92
694,4774037.44,4797370.40
695,4768591.19,4802778.71
696,4763138.82,4808180.84
697,4757680.33,4813576.79
698,4752215.71,4818966.56
699,4746744.99,4824350.13
700,4741268.16,4829727.49
701,4735785.24,4835098.65
702,4730296.23,4840463.59
703,4724801.14,4845822.31
704,4719299.97,4851174.79
705,4713792.73,4856521.04
706,4708279.44,4861861.05
707,4702760.09,4867194.80
708,4697234.69,4872522.29
709,4691703.26,4877843.53
710,4686165.79,4883158.48
711,4680622.30,4888467.17
712,4675072.79,4893769.56
713,4669517.27,4899065.66
714,4663955.74,4904355.47
715,4658388.22,4909638.97
716,4652814.71,4914916.15
717,4647235.21,4920187.02
718,4641649.74,4925451.56
719,4636058.31,4930709.77
720,4630460.91,4935961.64
721,4624857.56,4941207.16
722,4619248.26,4946446.33
723,4613633.02,4951679.14
724,4608011.85,4956905.58
725,4602384.76,4962125.65
726,4596751.75,4967339.34
727,4591112.83,4972546.64
728,4585468.00,4977747.55
729,4579817.28,4982942.06
730,4574160.67,4988130.16
